first_name,last_name,username,email,phone,gender,birth_date,role,is_superuser,is_staff,is_active,image,
Hassan,Hussein,user_7146,user5854@example.com,770000802,M,2019-12-22,ADMIN,0,0,0,user_black.svg,
Rami,Smith,user_4942,user2843@example.com,770000803,M,2017-08-05,ADMIN,0,1,0,user_black.svg,
Amal,Smith,user_3703,user9952@example.com,770000804,F,2018-12-18,INSTRUCTOR,1,1,1,user_black.svg,
Nora,Salem,user_9403,user9902@example.com,770000805,M,2020-10-03,INSTRUCTOR,1,1,1,user_black.svg,
Khalid,Mohamed,user_669,user8275@example.com,770000806,F,2019-06-02,STUDENT,0,0,1,user_black.svg,1
Omar,Salem,user_5336,user7494@example.com,770000807,M,2015-07-13,INSTRUCTOR,1,0,1,user_black.svg,2
Salim,Hussein,user_2911,user2981@example.com,770000808,F,2020-07-24,ADMIN,0,0,0,user_black.svg,3
Laila,Salem,user_3820,user3778@example.com,770000809,F,2023-08-21,STUDENT,1,0,0,user_black.svg,4
Sarah,Rahman,user_7526,user8333@example.com,770000810,F,2020-04-09,STUDENT,1,0,1,user_black.svg,5
Adam,Zaki,user_5885,user9889@example.com,770000811,F,2017-06-16,STUDENT,1,0,1,user_black.svg,6
Sarah ahmed,Salem,user_4357,user5118@example.com,770000812,F,2015-06-30,STUDENT,1,0,1,user_black.svg,7
Nora ali,Zaki,user_2760,user8643@example.com,770000813,M,2015-04-02,INSTRUCTOR,0,0,1,user_black.svg,8
Huda,Farah,user_7281,user2885@example.com,770000814,F,2022-11-02,STUDENT,1,1,0,user_black.svg,9
Huda,Khan,user_2982,user2325@example.com,770000815,M,2024-07-06,INSTRUCTOR,1,1,1,user_black.svg,
John,Hussein,user_6516,user2737@example.com,770000816,M,2015-06-22,INSTRUCTOR,0,0,1,user_black.svg,
Laila salih,Abdullah,user_1455,user3308@example.com,770000817,M,2022-11-13,INSTRUCTOR,0,1,1,user_black.svg,
Rami walid,Salem,user_1760,user5131@example.com,770000818,F,2020-05-27,ADMIN,0,0,1,user_black.svg,
Hassan mohammed,Zaki,user_775,user723@example.com,770000819,M,2022-06-19,ADMIN,1,0,1,user_black.svg,
